                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.89576,                0.75453,                 1.1269,                0.82171,                0.70747,                0.80807,                0.58082,                0.92144,                 0.6985,                 1.1139,                0.07001,              0.0033323,              0.0033323
                      1,                 1.0168,                0.84043,                  1.205,                0.79315,                0.66885,                0.76363,                0.52014,                 1.0459,                0.81703,                 1.1865,               0.039955,              0.0066106,              0.0066106
                      2,                 1.1871,                 1.0629,                 1.3201,                0.74543,                0.60505,                0.69349,                0.44932,                 1.1779,                 1.0092,                 1.3002,              0.0098446,               0.009834,               0.009834
                      3,                 1.2648,                 1.1646,                 1.3915,                0.75592,                0.61687,                0.70811,                0.45839,                 1.1681,                 0.9761,                 1.3027,              0.0097525,              0.0097525,              0.0097525
                      4,                 1.2206,                 1.0975,                 1.3599,                0.77856,                0.61603,                0.71935,                0.47399,                 1.1269,                0.92939,                 1.2728,              0.0097525,              0.0097525,              0.0097525
                      5,                  1.179,                 1.0363,                 1.3334,                0.77994,                0.64513,                0.73964,                0.49618,                 1.0846,                0.87984,                 1.2467,                0.00967,                0.00967,                0.00967
                      6,                 1.1501,                 1.0016,                   1.31,                0.78817,                 0.6543,                0.75086,                0.50604,                 1.0652,                0.84835,                 1.2335,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.1202,                0.96792,                 1.2912,                0.79727,                 0.6623,                0.76524,                0.52432,                 1.0374,                0.81324,                 1.2144,               0.009505,               0.009505,               0.009505
                      8,                 1.1039,                 0.9437,                 1.2819,                0.80167,                 0.6653,                0.76702,                0.52891,                  1.026,                0.79664,                 1.2049,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.0905,                0.92612,                 1.2746,                0.80383,                0.67457,                0.77687,                0.54004,                 1.0059,                0.77313,                 1.1917,                0.00934,                0.00934,                0.00934
                     10,                 1.0727,                 0.9024,                 1.2625,                0.81389,                0.67557,                0.78298,                0.54672,                0.99583,                0.76237,                 1.1823,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.0611,                0.88432,                  1.253,                0.80235,                0.69649,                0.78751,                0.55497,                0.97339,                0.73899,                 1.1674,               0.009175,               0.009175,               0.009175
                     12,                 1.0492,                0.87276,                 1.2431,                0.81208,                0.69393,                0.79221,                0.55804,                0.97579,                0.73159,                 1.1682,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.0395,                0.86544,                 1.2405,                0.81902,                0.69295,                0.79505,                0.56114,                0.96885,                0.72349,                  1.173,                0.00901,                0.00901,                0.00901
                     14,                 1.0361,                0.85271,                 1.2334,                0.80752,                0.70811,                0.79893,                0.56633,                0.95715,                0.70914,                 1.1614,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.0257,                0.84375,                  1.228,                0.82519,                 0.6984,                0.80231,                0.57181,                0.94867,                0.70453,                 1.1503,               0.008845,               0.008845,               0.008845
                     16,                 1.0198,                0.83301,                 1.2207,                0.82614,                0.70511,                0.80583,                0.57474,                0.94617,                0.69199,                 1.1475,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.0081,                0.82222,                 1.2185,                0.82375,                0.70965,                0.80874,                0.57763,                0.93837,                0.68475,                 1.1458,                0.00868,                0.00868,                0.00868
                     18,                 1.0022,                0.81254,                 1.2115,                0.82171,                0.71246,                0.81041,                0.57962,                0.93791,                0.67779,                 1.1447,              0.0085975,              0.0085975,              0.0085975
                     19,                0.99795,                0.80952,                 1.2094,                0.81744,                0.72064,                0.81341,                 0.5839,                0.93137,                0.66992,                 1.1444,               0.008515,               0.008515,               0.008515
                     20,                0.99489,                0.79856,                 1.2045,                0.81694,                0.72106,                0.81424,                0.58558,                 0.9248,                0.66742,                 1.1363,              0.0084325,              0.0084325,              0.0084325
                     21,                0.98387,                0.79312,                 1.2011,                0.82219,                0.72156,                0.81572,                0.58902,                0.92604,                0.66032,                 1.1367,                0.00835,                0.00835,                0.00835
                     22,                0.98384,                0.78478,                 1.1973,                0.81988,                0.72886,                0.81625,                0.58982,                0.92201,                0.65661,                 1.1321,              0.0082675,              0.0082675,              0.0082675
                     23,                  0.976,                0.77716,                 1.1928,                0.83006,                0.71909,                0.81781,                0.59081,                0.91954,                0.65576,                 1.1307,               0.008185,               0.008185,               0.008185
                     24,                0.97417,                0.77149,                  1.189,                0.83084,                0.72131,                0.82012,                0.59408,                0.91426,                0.64574,                  1.127,              0.0081025,              0.0081025,              0.0081025
                     25,                0.96681,                0.76929,                 1.1858,                0.82333,                0.72845,                0.82057,                0.59443,                0.91222,                0.64316,                 1.1256,                0.00802,                0.00802,                0.00802
                     26,                0.96188,                0.76322,                 1.1841,                0.82652,                 0.7291,                0.82217,                0.59683,                0.90796,                0.64167,                 1.1237,              0.0079375,              0.0079375,              0.0079375
                     27,                0.96198,                0.76204,                 1.1808,                0.82981,                0.72444,                0.82264,                 0.5978,                0.90771,                 0.6431,                 1.1247,               0.007855,               0.007855,               0.007855
                     28,                 0.9573,                 0.7538,                 1.1774,                0.82375,                0.73182,                0.82325,                0.59985,                0.90134,                0.63843,                 1.1212,              0.0077725,              0.0077725,              0.0077725
                     29,                0.95003,                0.74889,                  1.177,                0.83247,                0.72946,                0.82466,                0.59984,                0.90333,                0.63648,                  1.123,                0.00769,                0.00769,                0.00769
                     30,                0.95193,                0.74848,                  1.178,                0.82658,                0.73247,                0.82452,                0.60035,                0.90385,                0.63323,                 1.1252,              0.0076075,              0.0076075,              0.0076075
                     31,                  0.948,                 0.7413,                 1.1722,                0.83101,                 0.7311,                0.82449,                0.60044,                0.90192,                0.63207,                 1.1248,               0.007525,               0.007525,               0.007525
                     32,                0.94117,                0.73532,                 1.1704,                0.82439,                0.73401,                0.82521,                0.60167,                0.90066,                0.62924,                 1.1235,              0.0074425,              0.0074425,              0.0074425
                     33,                0.94022,                0.73443,                 1.1643,                0.82801,                0.73092,                0.82675,                0.60178,                0.89957,                0.62817,                 1.1216,                0.00736,                0.00736,                0.00736
                     34,                0.93667,                0.72936,                 1.1616,                0.82926,                 0.7311,                0.82748,                0.60258,                 0.9011,                0.62849,                 1.1222,              0.0072775,              0.0072775,              0.0072775
                     35,                 0.9303,                0.72627,                 1.1626,                0.83371,                0.73037,                0.82718,                0.60314,                0.89888,                0.62681,                 1.1204,               0.007195,               0.007195,               0.007195
                     36,                0.93017,                0.72177,                 1.1599,                0.82865,                 0.7351,                0.82781,                0.60393,                0.89799,                0.62579,                 1.1197,              0.0071125,              0.0071125,              0.0071125
                     37,                0.92466,                0.71626,                 1.1617,                0.82323,                 0.7381,                0.82824,                0.60403,                0.89693,                0.62469,                 1.1194,                0.00703,                0.00703,                0.00703
                     38,                 0.9233,                0.70831,                 1.1523,                0.82509,                0.73907,                0.82842,                0.60414,                0.89763,                0.62463,                 1.1199,              0.0069475,              0.0069475,              0.0069475
                     39,                0.92284,                0.70686,                 1.1567,                0.82964,                0.73628,                0.82871,                0.60462,                0.89829,                0.62354,                 1.1207,               0.006865,               0.006865,               0.006865
                     40,                0.91635,                0.70557,                  1.153,                0.83514,                0.73146,                0.82766,                0.60405,                0.89896,                 0.6234,                 1.1217,              0.0067825,              0.0067825,              0.0067825
                     41,                0.91447,                0.69848,                 1.1519,                0.83664,                0.72955,                 0.8279,                0.60455,                0.89765,                0.62283,                 1.1212,                 0.0067,                 0.0067,                 0.0067
                     42,                0.91065,                0.69878,                 1.1495,                0.83872,                0.72969,                0.82776,                0.60425,                0.89715,                0.62244,                  1.121,              0.0066175,              0.0066175,              0.0066175
                     43,                0.90619,                 0.6919,                  1.148,                0.83684,                0.73155,                0.82842,                0.60492,                0.89659,                0.62163,                 1.1211,               0.006535,               0.006535,               0.006535
                     44,                0.90451,                0.69251,                 1.1445,                0.83806,                0.73155,                 0.8288,                0.60483,                0.89601,                0.62088,                 1.1212,              0.0064525,              0.0064525,              0.0064525
                     45,                0.90577,                0.68728,                 1.1358,                0.83845,                0.73151,                0.82881,                0.60475,                0.89607,                0.62002,                 1.1209,                0.00637,                0.00637,                0.00637
