                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.0421,                0.85018,                   1.19,                0.81981,                0.69166,                0.79556,                0.56211,                0.97193,                0.71876,                  1.122,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0347,                0.84221,                 1.1882,                0.81961,                0.69793,                0.79941,                0.56643,                0.97111,                0.70828,                 1.1201,                0.00901,                0.00901,                0.00901
                     22,                 1.0379,                0.83658,                  1.185,                0.81659,                0.69915,                0.79738,                0.56588,                 0.9712,                0.70475,                 1.1188,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0289,                0.82978,                 1.1784,                0.80998,                0.70502,                 0.7985,                0.56792,                0.96545,                0.70294,                 1.1134,               0.008911,               0.008911,               0.008911
                     24,                 1.0241,                0.82745,                  1.176,                0.82262,                0.69784,                0.79912,                0.56964,                0.95661,                0.70259,                 1.1092,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0206,                0.82494,                 1.1762,                0.82228,                0.69501,                0.80078,                0.57236,                0.95413,                0.69313,                 1.1071,               0.008812,               0.008812,               0.008812
                     26,                 1.0164,                  0.817,                 1.1715,                0.81312,                0.70383,                0.80199,                0.57205,                0.95225,                0.69456,                 1.1053,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0172,                0.81988,                 1.1706,                0.81282,                0.70717,                0.80244,                0.57404,                0.94838,                0.68982,                 1.1035,               0.008713,               0.008713,               0.008713
                     28,                 1.0133,                0.80729,                  1.166,                0.81134,                0.70935,                0.80524,                0.57715,                0.94299,                0.68286,                 1.0998,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.008,                0.80837,                 1.1642,                 0.8184,                0.70891,                0.80691,                 0.5777,                0.94114,                0.68031,                 1.0995,               0.008614,               0.008614,               0.008614
                     30,                 1.0091,                0.80626,                 1.1663,                0.82043,                0.71011,                0.80719,                0.57965,                0.94038,                0.67823,                 1.1004,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0061,                0.79845,                 1.1605,                0.81636,                0.71256,                0.80783,                0.57983,                 0.9411,                0.67756,                 1.0998,               0.008515,               0.008515,               0.008515
                     32,                 1.0005,                0.79826,                 1.1617,                0.81732,                0.71265,                0.80844,                0.57969,                0.93894,                0.67679,                 1.0987,              0.0084655,              0.0084655,              0.0084655
                     33,                0.99887,                0.79605,                 1.1589,                0.82509,                 0.7086,                0.80804,                0.58041,                0.93878,                0.67475,                 1.0991,               0.008416,               0.008416,               0.008416
                     34,                0.99836,                0.79278,                 1.1555,                0.82604,                0.71001,                0.80996,                0.58152,                0.93997,                 0.6727,                 1.0989,              0.0083665,              0.0083665,              0.0083665
                     35,                0.99332,                0.78829,                 1.1528,                0.83052,                0.70456,                0.81027,                0.58187,                0.93924,                0.66979,                 1.0985,               0.008317,               0.008317,               0.008317
                     36,                0.98974,                0.78678,                 1.1542,                0.82632,                0.70865,                0.81108,                0.58241,                0.93757,                 0.6692,                 1.0975,              0.0082675,              0.0082675,              0.0082675
                     37,                0.98939,                0.78085,                 1.1513,                 0.8317,                0.70462,                0.81165,                 0.5834,                0.93647,                0.66818,                 1.0968,               0.008218,               0.008218,               0.008218
                     38,                0.98876,                0.77761,                 1.1509,                0.82469,                 0.7122,                  0.812,                 0.5835,                0.93574,                0.66589,                 1.0963,              0.0081685,              0.0081685,              0.0081685
                     39,                0.98509,                0.77438,                 1.1488,                0.82918,                 0.7092,                0.81223,                0.58377,                0.93567,                0.66384,                 1.0972,               0.008119,               0.008119,               0.008119
                     40,                0.98334,                0.77447,                 1.1489,                0.82544,                0.71377,                0.81249,                0.58456,                0.93572,                0.66135,                 1.0979,              0.0080695,              0.0080695,              0.0080695
                     41,                0.97999,                0.77031,                 1.1472,                0.83064,                0.70974,                0.81304,                0.58501,                0.93517,                0.65973,                 1.0976,                0.00802,                0.00802,                0.00802
                     42,                0.98123,                0.76832,                 1.1445,                0.82835,                 0.7102,                0.81328,                0.58557,                0.93452,                0.65925,                 1.0973,              0.0079705,              0.0079705,              0.0079705
                     43,                0.97602,                0.76508,                  1.146,                0.82852,                0.71383,                0.81324,                0.58566,                0.93385,                0.65862,                 1.0969,               0.007921,               0.007921,               0.007921
                     44,                0.97509,                0.76271,                 1.1424,                0.82033,                0.72156,                0.81421,                0.58658,                 0.9329,                0.65772,                 1.0961,              0.0078715,              0.0078715,              0.0078715
                     45,                0.97616,                0.76329,                 1.1411,                0.82345,                0.72001,                0.81435,                0.58633,                  0.932,                  0.657,                 1.0955,               0.007822,               0.007822,               0.007822
                     46,                0.97242,                0.75803,                 1.1401,                0.82319,                0.71968,                0.81424,                0.58667,                 0.9315,                0.65651,                 1.0951,              0.0077725,              0.0077725,              0.0077725
                     47,                0.97093,                0.75857,                 1.1371,                0.82654,                0.71783,                0.81457,                0.58696,                0.93105,                0.65608,                 1.0947,               0.007723,               0.007723,               0.007723
                     48,                0.96423,                0.75185,                 1.1351,                0.82366,                 0.7212,                 0.8145,                0.58728,                0.93026,                0.65589,                 1.0941,              0.0076735,              0.0076735,              0.0076735
                     49,                0.96957,                0.74736,                 1.1361,                0.82324,                0.72247,                 0.8149,                0.58728,                0.92998,                0.65546,                 1.0942,               0.007624,               0.007624,               0.007624
                     50,                0.96672,                0.75374,                 1.1345,                0.82157,                0.72346,                  0.815,                0.58765,                0.92983,                0.65534,                 1.0942,              0.0075745,              0.0075745,              0.0075745
                     51,                0.96521,                0.74912,                 1.1333,                0.82136,                0.72328,                 0.8152,                0.58787,                0.92935,                0.65483,                  1.094,               0.007525,               0.007525,               0.007525
                     52,                0.96084,                0.74396,                 1.1304,                0.82401,                0.72137,                0.81519,                0.58771,                0.92889,                0.65494,                 1.0938,              0.0074755,              0.0074755,              0.0074755
                     53,                0.96217,                0.73988,                 1.1256,                0.82419,                0.72174,                0.81515,                0.58788,                0.92889,                 0.6544,                 1.0935,               0.007426,               0.007426,               0.007426
                     54,                0.95856,                0.74364,                 1.1329,                0.82292,                0.72174,                0.81491,                0.58778,                0.92947,                0.65387,                 1.0939,              0.0073765,              0.0073765,              0.0073765
                     55,                0.95889,                 0.7376,                 1.1282,                0.82226,                 0.7231,                0.81538,                0.58833,                0.92924,                0.65326,                 1.0939,               0.007327,               0.007327,               0.007327
                     56,                0.95805,                0.74081,                 1.1321,                0.81996,                0.72386,                0.81524,                0.58814,                0.92955,                0.65303,                 1.0941,              0.0072775,              0.0072775,              0.0072775
                     57,                0.95893,                0.73764,                 1.1295,                0.81955,                0.72477,                0.81556,                 0.5881,                0.92966,                0.65301,                 1.0944,               0.007228,               0.007228,               0.007228
                     58,                0.95237,                0.73304,                 1.1281,                0.82131,                0.72474,                 0.8159,                0.58824,                 0.9297,                0.65241,                 1.0946,              0.0071785,              0.0071785,              0.0071785
                     59,                0.94618,                0.72707,                 1.1244,                0.82367,                0.72335,                0.81591,                0.58867,                0.92993,                0.65201,                 1.0951,               0.007129,               0.007129,               0.007129
                     60,                0.95138,                0.73308,                 1.1284,                0.82372,                0.72346,                0.81572,                0.58847,                 0.9298,                0.65164,                 1.0952,              0.0070795,              0.0070795,              0.0070795
                     61,                0.95051,                0.72542,                 1.1215,                0.82374,                0.72455,                0.81607,                0.58896,                0.93012,                0.65092,                 1.0954,                0.00703,                0.00703,                0.00703
                     62,                0.94345,                  0.723,                 1.1196,                0.82377,                 0.7251,                0.81598,                 0.5889,                0.93016,                0.65086,                 1.0954,              0.0069805,              0.0069805,              0.0069805
                     63,                0.94417,                0.71708,                 1.1188,                0.82423,                0.72474,                0.81649,                0.58917,                0.93001,                 0.6502,                 1.0953,               0.006931,               0.006931,               0.006931
                     64,                0.94296,                0.72191,                 1.1187,                0.82313,                0.72492,                0.81641,                0.58887,                0.93002,                0.64976,                 1.0954,              0.0068815,              0.0068815,              0.0068815
                     65,                0.94318,                0.71738,                 1.1184,                0.82331,                0.72537,                 0.8166,                0.58895,                0.93059,                0.64942,                 1.0958,               0.006832,               0.006832,               0.006832
                     66,                0.94182,                0.71535,                 1.1181,                0.82459,                0.72452,                0.81669,                0.58928,                 0.9301,                0.64886,                 1.0955,              0.0067825,              0.0067825,              0.0067825
                     67,                0.94337,                0.71754,                 1.1183,                0.82451,                0.72528,                0.81689,                0.58924,                0.92998,                0.64858,                 1.0952,               0.006733,               0.006733,               0.006733
                     68,                0.94122,                0.71256,                 1.1175,                0.82322,                0.72574,                0.81671,                0.58921,                0.93026,                0.64809,                 1.0955,              0.0066835,              0.0066835,              0.0066835
                     69,                0.93331,                0.71159,                 1.1154,                0.82216,                0.72683,                0.81694,                0.58953,                0.93047,                0.64789,                 1.0956,               0.006634,               0.006634,               0.006634
                     70,                  0.936,                0.71108,                 1.1152,                0.82235,                0.72692,                0.81678,                0.58926,                0.93047,                 0.6476,                 1.0958,              0.0065845,              0.0065845,              0.0065845
                     71,                0.93487,                0.70828,                 1.1107,                0.82391,                0.72537,                0.81698,                0.58935,                0.93046,                 0.6472,                 1.0955,               0.006535,               0.006535,               0.006535
                     72,                 0.9319,                0.70537,                 1.1072,                0.82342,                0.72492,                0.81659,                0.58994,                0.92833,                0.64728,                 1.0931,              0.0064855,              0.0064855,              0.0064855
                     73,                0.93118,                0.70429,                 1.1106,                 0.8253,                 0.7231,                0.81653,                 0.5899,                0.92861,                0.64699,                 1.0933,               0.006436,               0.006436,               0.006436
                     74,                0.92825,                0.70286,                 1.1073,                0.82442,                0.72368,                0.81675,                0.59002,                0.92891,                0.64665,                 1.0937,              0.0063865,              0.0063865,              0.0063865
                     75,                0.92844,                0.70035,                 1.1107,                0.82361,                 0.7241,                0.81699,                0.58972,                0.92836,                0.64639,                 1.0934,               0.006337,               0.006337,               0.006337
                     76,                0.92698,                0.69882,                 1.1099,                0.82508,                0.72328,                0.81702,                 0.5898,                0.92806,                 0.6463,                 1.0933,              0.0062875,              0.0062875,              0.0062875
                     77,                0.92876,                0.69919,                 1.1101,                0.82731,                0.72137,                0.81712,                0.59046,                0.92732,                0.64599,                 1.0928,               0.006238,               0.006238,               0.006238
                     78,                0.92335,                0.69676,                 1.1087,                0.82855,                0.72156,                0.81722,                0.59044,                0.92725,                0.64527,                 1.0926,              0.0061885,              0.0061885,              0.0061885
                     79,                0.92433,                 0.6962,                 1.1094,                0.82869,                0.72092,                0.81746,                0.59081,                0.92734,                0.64528,                 1.0926,               0.006139,               0.006139,               0.006139
                     80,                 0.9193,                0.69349,                 1.1063,                 0.8271,                0.72265,                0.81739,                0.59081,                 0.9278,                0.64508,                 1.0929,              0.0060895,              0.0060895,              0.0060895
                     81,                0.92114,                0.69206,                 1.1072,                0.82638,                0.72276,                0.81761,                0.59088,                0.92788,                0.64484,                  1.093,                0.00604,                0.00604,                0.00604
                     82,                0.91722,                  0.689,                 1.1051,                0.82698,                0.72146,                0.81754,                0.59078,                0.92816,                0.64459,                 1.0931,              0.0059905,              0.0059905,              0.0059905
                     83,                0.91621,                 0.6878,                 1.1011,                0.82408,                0.72286,                0.81767,                0.59109,                0.92828,                0.64437,                 1.0929,               0.005941,               0.005941,               0.005941
                     84,                 0.9143,                 0.6815,                 1.0999,                0.82301,                0.72501,                0.81786,                0.59125,                0.92867,                0.64413,                 1.0931,              0.0058915,              0.0058915,              0.0058915
                     85,                0.91922,                0.68704,                 1.0999,                0.82356,                0.72565,                0.81786,                0.59097,                0.92857,                0.64368,                 1.0929,               0.005842,               0.005842,               0.005842
                     86,                0.91443,                0.68194,                 1.0983,                0.82799,                0.72222,                0.81782,                0.59099,                0.92914,                0.64317,                 1.0931,              0.0057925,              0.0057925,              0.0057925
                     87,                0.91196,                0.68067,                 1.1016,                0.82922,                0.72101,                0.81773,                0.59102,                0.92894,                 0.6433,                  1.093,               0.005743,               0.005743,               0.005743
                     88,                0.91153,                 0.6797,                 1.0999,                0.82962,                0.72037,                0.81788,                0.59131,                0.92911,                0.64297,                 1.0936,              0.0056935,              0.0056935,              0.0056935
                     89,                0.91426,                0.67879,                 1.0943,                0.83118,                0.72037,                0.81803,                0.59142,                0.92928,                 0.6426,                 1.0935,               0.005644,               0.005644,               0.005644
                     90,                0.90765,                0.67218,                 1.0968,                0.82947,                0.72156,                0.81809,                 0.5914,                0.92951,                 0.6419,                 1.0936,              0.0055945,              0.0055945,              0.0055945
                     91,                0.90651,                0.67417,                 1.0963,                 0.8281,                 0.7231,                0.81795,                0.59125,                0.92964,                0.64147,                 1.0937,               0.005545,               0.005545,               0.005545
                     92,                0.90312,                0.66913,                 1.0925,                0.82773,                0.72437,                0.81834,                0.59135,                0.92986,                0.64106,                 1.0939,              0.0054955,              0.0054955,              0.0054955
                     93,                0.90207,                0.67055,                 1.0916,                0.82494,                0.72646,                0.81821,                0.59141,                0.93023,                0.64057,                  1.094,               0.005446,               0.005446,               0.005446
                     94,                0.90006,                0.66566,                 1.0902,                0.82456,                0.72537,                0.81819,                0.59136,                0.93046,                0.64013,                 1.0941,              0.0053965,              0.0053965,              0.0053965
                     95,                0.90319,                0.66287,                 1.0898,                 0.8242,                0.72574,                0.81809,                0.59137,                0.93099,                0.63962,                 1.0946,               0.005347,               0.005347,               0.005347
                     96,                0.89582,                0.66279,                 1.0906,                0.82795,                0.72274,                 0.8184,                0.59161,                0.93075,                0.63918,                 1.0947,              0.0052975,              0.0052975,              0.0052975
                     97,                0.89954,                0.66181,                 1.0903,                0.82769,                0.72319,                 0.8181,                0.59142,                0.93112,                0.63911,                 1.0949,               0.005248,               0.005248,               0.005248
                     98,                0.89328,                0.65793,                 1.0883,                0.83025,                 0.7221,                 0.8177,                0.59141,                0.93158,                0.63883,                 1.0953,              0.0051985,              0.0051985,              0.0051985
                     99,                 0.8945,                0.65606,                 1.0898,                0.83037,                0.72228,                0.81776,                0.59108,                0.93146,                0.63907,                 1.0953,               0.005149,               0.005149,               0.005149
                    100,                0.89441,                0.65867,                 1.0895,                0.82884,                0.72392,                 0.8178,                0.59138,                0.93139,                0.63896,                 1.0956,              0.0050995,              0.0050995,              0.0050995
                    101,                0.89354,                0.65753,                 1.0869,                0.82411,                0.72597,                0.81773,                0.59141,                0.93131,                 0.6395,                 1.0955,                0.00505,                0.00505,                0.00505
                    102,                  0.892,                0.65289,                 1.0856,                0.82537,                0.72459,                0.81748,                0.59139,                0.93175,                0.63922,                 1.0957,              0.0050005,              0.0050005,              0.0050005
                    103,                0.88694,                0.65051,                 1.0832,                0.82445,                0.72598,                0.81763,                0.59122,                0.93226,                0.63945,                 1.0961,               0.004951,               0.004951,               0.004951
                    104,                0.88608,                0.64794,                 1.0833,                0.82643,                0.72477,                0.81772,                0.59118,                0.93247,                0.64005,                 1.0962,              0.0049015,              0.0049015,              0.0049015
                    105,                 0.8857,                0.64482,                 1.0824,                  0.827,                0.72519,                 0.8177,                0.59138,                0.93338,                 0.6398,                  1.097,               0.004852,               0.004852,               0.004852
                    106,                0.88388,                0.64589,                 1.0848,                0.82931,                0.72365,                0.81724,                0.59109,                0.93378,                0.63969,                  1.097,              0.0048025,              0.0048025,              0.0048025
                    107,                0.88187,                0.64579,                 1.0833,                0.82861,                0.72319,                0.81768,                0.59115,                0.93345,                0.63918,                  1.097,               0.004753,               0.004753,               0.004753
                    108,                0.88114,                0.63975,                 1.0798,                0.82724,                0.72428,                0.81748,                0.59149,                0.93329,                0.63889,                 1.0969,              0.0047035,              0.0047035,              0.0047035
                    109,                0.88159,                0.63962,                 1.0804,                0.82622,                0.72446,                0.81738,                0.59131,                0.93318,                0.63877,                 1.0969,               0.004654,               0.004654,               0.004654
                    110,                0.87664,                0.63679,                 1.0764,                0.82797,                0.72297,                0.81724,                0.59139,                0.93298,                0.63896,                 1.0968,              0.0046045,              0.0046045,              0.0046045
                    111,                0.87694,                0.63521,                 1.0743,                0.82642,                0.72328,                0.81691,                0.59136,                 0.9332,                 0.6389,                 1.0967,               0.004555,               0.004555,               0.004555
                    112,                0.87619,                0.63339,                 1.0741,                0.82666,                0.72319,                0.81714,                0.59152,                0.93334,                0.63834,                 1.0969,              0.0045055,              0.0045055,              0.0045055
                    113,                0.86709,                0.62734,                 1.0737,                0.82804,                0.72289,                0.81692,                0.59129,                0.93353,                0.63845,                 1.0969,               0.004456,               0.004456,               0.004456
                    114,                 0.8751,                0.63205,                 1.0771,                0.82678,                0.72392,                0.81664,                0.59117,                0.93414,                0.63835,                 1.0976,              0.0044065,              0.0044065,              0.0044065
                    115,                0.86944,                0.62502,                 1.0721,                0.82709,                0.72465,                0.81646,                 0.5913,                0.93451,                0.63865,                 1.0982,               0.004357,               0.004357,               0.004357
                    116,                0.86603,                0.62375,                 1.0703,                0.82621,                0.72465,                0.81647,                0.59093,                 0.9349,                0.63871,                 1.0985,              0.0043075,              0.0043075,              0.0043075
                    117,                0.86418,                0.62342,                 1.0675,                0.82702,                0.72528,                0.81653,                0.59104,                0.93524,                0.63847,                 1.0983,               0.004258,               0.004258,               0.004258
                    118,                0.86829,                0.62186,                 1.0698,                0.82514,                0.72642,                0.81635,                0.59116,                0.93596,                0.63817,                 1.0988,              0.0042085,              0.0042085,              0.0042085
                    119,                0.86162,                0.61396,                  1.064,                0.82687,                0.72613,                 0.8162,                0.59071,                0.93591,                0.63806,                 1.0987,               0.004159,               0.004159,               0.004159
                    120,                 0.8618,                0.61564,                 1.0651,                0.82659,                0.72528,                0.81587,                0.59052,                0.93637,                0.63808,                 1.0989,              0.0041095,              0.0041095,              0.0041095
                    121,                0.86065,                0.61374,                 1.0656,                0.82814,                0.72383,                0.81628,                0.59083,                0.93673,                0.63782,                 1.0991,                0.00406,                0.00406,                0.00406
                    122,                0.85794,                  0.613,                 1.0649,                0.82742,                0.72456,                0.81637,                0.59051,                0.93728,                0.63756,                 1.0996,              0.0040105,              0.0040105,              0.0040105
                    123,                0.85684,                 0.6139,                  1.064,                0.82612,                 0.7245,                0.81628,                0.59062,                0.93763,                0.63779,                 1.0998,               0.003961,               0.003961,               0.003961
                    124,                0.85452,                0.61046,                 1.0643,                0.82452,                0.72589,                0.81624,                0.59032,                0.93816,                0.63768,                    1.1,              0.0039115,              0.0039115,              0.0039115
                    125,                0.85077,                0.60513,                 1.0592,                0.82387,                0.72562,                 0.8159,                   0.59,                0.93859,                0.63812,                 1.1005,               0.003862,               0.003862,               0.003862
                    126,                0.85265,                0.60639,                 1.0627,                 0.8236,                0.72628,                0.81585,                0.58947,                 0.9393,                0.63872,                 1.1013,              0.0038125,              0.0038125,              0.0038125
                    127,                0.84978,                0.60181,                 1.0596,                0.81954,                 0.7291,                0.81618,                0.58973,                0.94013,                0.63914,                 1.1021,               0.003763,               0.003763,               0.003763
                    128,                0.84796,                0.59989,                 1.0573,                0.82188,                0.72838,                0.81601,                0.58985,                0.94062,                0.63934,                 1.1024,              0.0037135,              0.0037135,              0.0037135
                    129,                0.84637,                0.59865,                 1.0573,                0.82188,                0.72755,                0.81561,                0.58935,                0.94106,                0.63965,                 1.1026,               0.003664,               0.003664,               0.003664
                    130,                0.84025,                0.59408,                 1.0543,                0.82153,                0.72792,                0.81556,                0.58925,                0.94171,                0.63977,                 1.1031,              0.0036145,              0.0036145,              0.0036145
                    131,                0.84209,                0.59387,                 1.0548,                0.82129,                 0.7271,                0.81572,                0.58932,                0.94178,                0.63996,                 1.1028,               0.003565,               0.003565,               0.003565
                    132,                0.84244,                0.59568,                  1.053,                0.82118,                0.72949,                0.81566,                 0.5893,                0.94211,                0.63992,                 1.1027,              0.0035155,              0.0035155,              0.0035155
                    133,                0.84092,                 0.5908,                 1.0539,                0.82158,                0.72774,                0.81564,                0.58934,                0.94269,                0.63993,                 1.1032,               0.003466,               0.003466,               0.003466
                    134,                0.83508,                0.58689,                   1.05,                0.82042,                0.72919,                0.81536,                0.58897,                0.94284,                0.64013,                 1.1034,              0.0034165,              0.0034165,              0.0034165
                    135,                0.83355,                 0.5852,                 1.0497,                0.82178,                0.72746,                0.81499,                0.58865,                0.94336,                   0.64,                 1.1041,               0.003367,               0.003367,               0.003367
                    136,                0.83232,                0.58635,                 1.0536,                0.82002,                0.72846,                0.81504,                0.58887,                0.94405,                0.64048,                 1.1046,              0.0033175,              0.0033175,              0.0033175
                    137,                0.83507,                0.58312,                 1.0494,                 0.8215,                0.72819,                0.81509,                0.58868,                0.94451,                0.64098,                 1.1049,               0.003268,               0.003268,               0.003268
                    138,                0.83577,                 0.5813,                 1.0482,                0.82045,                0.72795,                0.81468,                0.58861,                0.94494,                0.64172,                 1.1051,              0.0032185,              0.0032185,              0.0032185
                    139,                0.82942,                0.57986,                 1.0475,                0.81828,                0.72746,                0.81459,                0.58836,                0.94497,                0.64206,                 1.1053,               0.003169,               0.003169,               0.003169
                    140,                0.82404,                0.57427,                 1.0462,                0.81976,                 0.7262,                0.81421,                0.58812,                0.94545,                0.64227,                  1.106,              0.0031195,              0.0031195,              0.0031195
                    141,                0.82572,                 0.5732,                 1.0439,                 0.8195,                0.72628,                0.81401,                 0.5878,                0.94563,                0.64284,                 1.1064,                0.00307,                0.00307,                0.00307
                    142,                0.82265,                 0.5692,                 1.0424,                0.81828,                0.72574,                0.81358,                0.58743,                0.94622,                 0.6429,                 1.1068,              0.0030205,              0.0030205,              0.0030205
                    143,                0.82127,                 0.5703,                 1.0434,                0.81698,                0.72683,                0.81346,                0.58708,                0.94666,                0.64312,                 1.1072,               0.002971,               0.002971,               0.002971
                    144,                0.81816,                0.56592,                 1.0414,                 0.8168,                0.72628,                0.81379,                0.58697,                0.94691,                0.64315,                 1.1076,              0.0029215,              0.0029215,              0.0029215
                    145,                0.81542,                0.56354,                 1.0385,                0.81609,                0.72601,                0.81342,                0.58659,                0.94723,                0.64394,                 1.1079,               0.002872,               0.002872,               0.002872
                    146,                 0.8107,                0.56083,                 1.0376,                 0.8161,                0.72655,                0.81336,                 0.5863,                0.94758,                 0.6447,                 1.1086,              0.0028225,              0.0028225,              0.0028225
