                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95137,                0.81932,                 1.1224,                 0.8135,                0.69487,                0.79126,                0.56086,                0.96339,                0.73302,                 1.0875,               0.070019,              0.0033312,              0.0033312
                      1,                 1.0494,                0.86627,                 1.1737,                0.78365,                0.64682,                0.74113,                0.49416,                 1.0982,                0.88329,                 1.1766,               0.039986,              0.0066315,              0.0066315
                      2,                 1.2045,                 1.0678,                 1.2801,                0.72919,                0.58043,                0.66262,                0.41856,                 1.2543,                  1.099,                 1.2911,              0.0099202,              0.0098989,              0.0098989
                      3,                 1.2835,                 1.1663,                 1.3468,                0.73052,                0.59197,                0.67526,                 0.4306,                  1.223,                   1.03,                 1.2913,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2436,                 1.1098,                 1.3191,                0.75098,                 0.6136,                0.70273,                0.45759,                 1.1709,                0.97228,                 1.2524,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2049,                 1.0584,                 1.2932,                0.76946,                0.62523,                0.71838,                0.47042,                 1.1453,                 0.9232,                 1.2274,               0.009802,               0.009802,               0.009802
                      6,                 1.1811,                 1.0219,                 1.2797,                0.76978,                0.63986,                0.73279,                0.48839,                 1.1148,                0.88945,                 1.2108,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1555,                0.99372,                  1.263,                 0.7895,                 0.6404,                0.73937,                 0.4984,                 1.0801,                0.86823,                 1.1876,               0.009703,               0.009703,               0.009703
                      8,                 1.1434,                0.97396,                 1.2545,                0.79314,                0.65053,                   0.75,                0.50839,                 1.0641,                  0.839,                 1.1798,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1267,                0.95408,                 1.2409,                0.79153,                0.66158,                0.75662,                0.51881,                 1.0514,                0.82358,                 1.1642,               0.009604,               0.009604,               0.009604
                     10,                 1.1115,                0.93821,                 1.2373,                0.79396,                0.66744,                 0.7628,                0.52275,                 1.0409,                0.81775,                 1.1711,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1018,                 0.9291,                 1.2284,                0.80519,                0.66721,                0.76574,                0.52859,                 1.0353,                0.79537,                 1.1604,               0.009505,               0.009505,               0.009505
                     12,                 1.0921,                0.91403,                 1.2216,                0.78931,                0.67875,                0.77348,                0.53436,                 1.0287,                0.77845,                 1.1586,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0853,                0.90415,                 1.2185,                0.81406,                0.66812,                0.77586,                0.54107,                  1.008,                0.77472,                 1.1449,               0.009406,               0.009406,               0.009406
                     14,                 1.0795,                0.89223,                 1.2125,                0.80804,                0.68039,                0.77985,                0.54488,                 1.0003,                0.76057,                 1.1407,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0696,                0.88257,                 1.2093,                0.80499,                0.68839,                0.78407,                0.54901,                0.99755,                0.75052,                 1.1404,               0.009307,               0.009307,               0.009307
                     16,                 1.0635,                0.87662,                 1.2019,                0.81302,                0.68657,                0.78517,                0.55207,                0.98433,                0.74369,                 1.1257,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0568,                0.86577,                 1.1961,                0.81592,                0.68266,                0.78728,                0.55465,                0.98247,                0.73613,                 1.1236,               0.009208,               0.009208,               0.009208
                     18,                 1.0505,                0.86081,                 1.1954,                   0.81,                0.69039,                0.78968,                0.55688,                0.98084,                0.73008,                 1.1251,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0446,                0.85431,                 1.1904,                0.81079,                0.69393,                0.79155,                 0.5603,                0.98052,                0.72207,                 1.1252,               0.009109,               0.009109,               0.009109
