                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0184,                 0.8066,                 1.1672,                0.78089,                0.63221,                0.72227,                0.47948,                 1.1476,                0.88085,                 1.2463,               0.008878,               0.008878,               0.008878
                     36,                 1.0217,                0.80532,                 1.1648,                0.76592,                0.64422,                0.72835,                0.48215,                 1.1367,                0.87261,                 1.2352,               0.008845,               0.008845,               0.008845
                     37,                 1.0107,                0.79893,                 1.1609,                0.77106,                0.64245,                0.72828,                0.48345,                 1.1413,                0.86988,                 1.2393,               0.008812,               0.008812,               0.008812
                     38,                 1.0053,                0.79152,                 1.1549,                0.77104,                0.63768,                0.72233,                 0.4782,                 1.1265,                0.88303,                 1.2339,               0.008779,               0.008779,               0.008779
                     39,                 1.0072,                 0.7961,                 1.1568,                0.76745,                0.64871,                0.73246,                0.48445,                  1.133,                0.86754,                 1.2403,               0.008746,               0.008746,               0.008746
                     40,                0.99972,                0.77875,                 1.1515,                0.76665,                0.65387,                0.72959,                0.48302,                 1.1406,                0.86617,                 1.2365,               0.008713,               0.008713,               0.008713
                     41,                0.99898,                0.77312,                 1.1519,                0.76933,                 0.6474,                 0.7307,                0.48745,                 1.1321,                0.85709,                 1.2329,                0.00868,                0.00868,                0.00868
                     42,                0.98458,                0.76236,                 1.1395,                0.76506,                0.66228,                0.73249,                0.48292,                 1.1436,                0.85589,                 1.2434,               0.008647,               0.008647,               0.008647
                     43,                0.98733,                 0.7602,                 1.1351,                0.77858,                 0.6384,                0.73174,                0.48425,                 1.1314,                0.86424,                 1.2319,               0.008614,               0.008614,               0.008614
                     44,                0.99025,                0.76307,                 1.1392,                0.77524,                0.64255,                0.73105,                0.48909,                 1.1275,                0.85398,                 1.2284,               0.008581,               0.008581,               0.008581
                     45,                0.98902,                0.76108,                  1.142,                0.77621,                0.64113,                0.73019,                0.48704,                 1.1291,                0.85276,                 1.2327,               0.008548,               0.008548,               0.008548
                     46,                0.98434,                0.75163,                 1.1281,                0.77294,                0.64377,                0.73023,                0.48714,                 1.1376,                0.86191,                 1.2385,               0.008515,               0.008515,               0.008515
                     47,                0.97648,                0.74435,                 1.1349,                  0.771,                0.64404,                0.72711,                  0.484,                 1.1362,                0.86206,                 1.2345,               0.008482,               0.008482,               0.008482
                     48,                0.97066,                0.74026,                 1.1233,                0.76061,                0.65803,                 0.7323,                0.49057,                 1.1234,                0.84764,                 1.2274,               0.008449,               0.008449,               0.008449
                     49,                0.96315,                0.74125,                 1.1308,                0.77405,                0.64604,                0.73345,                 0.4902,                 1.1342,                0.84796,                 1.2346,               0.008416,               0.008416,               0.008416
                     50,                0.96602,                0.73661,                 1.1312,                0.76929,                0.65482,                0.73437,                0.48736,                 1.1339,                0.85133,                 1.2388,               0.008383,               0.008383,               0.008383
