                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.97335,                0.95336,                 1.1325,                0.81567,                0.69702,                0.79434,                0.56472,                0.94883,                0.76358,                 1.0883,               0.070096,              0.0033227,              0.0033227
                      1,                 1.0073,                0.81267,                 1.1457,                0.79166,                0.67266,                0.76278,                0.52625,                 1.0216,                0.82369,                  1.126,               0.039766,              0.0063265,              0.0063265
                      2,                 1.1413,                0.98586,                 1.2259,                0.73009,                0.58379,                0.67299,                0.43192,                 1.2153,                 1.0509,                 1.2713,              0.0091069,              0.0090004,              0.0090004
                      3,                 1.2517,                 1.1293,                 1.3046,                 0.7031,                0.56607,                0.63184,                0.38251,                 1.3169,                 1.1744,                 1.3357,               0.008515,               0.008515,               0.008515
                      4,                 1.2776,                 1.1579,                 1.3197,                0.67466,                0.54405,                0.61414,                0.37815,                 1.3137,                 1.2125,                 1.3528,               0.008515,               0.008515,               0.008515
                      5,                 1.2573,                 1.1199,                 1.3145,                0.73487,                0.57961,                0.66469,                0.41251,                 1.2615,                 1.1281,                 1.2967,                0.00802,                0.00802,                0.00802
                      6,                 1.2292,                 1.0811,                 1.2976,                0.74466,                0.58491,                0.67323,                0.41826,                 1.2698,                 1.0628,                 1.3058,               0.007525,               0.007525,               0.007525
                      7,                 1.2122,                 1.0451,                 1.2752,                0.74684,                0.60314,                0.68877,                0.43573,                 1.2314,                 1.0195,                 1.2821,                0.00703,                0.00703,                0.00703
                      8,                 1.1731,                  1.006,                 1.2554,                0.73946,                0.61841,                0.70189,                0.45307,                 1.1835,                0.98368,                 1.2579,               0.006535,               0.006535,               0.006535
                      9,                 1.1279,                0.95039,                 1.2286,                0.76892,                0.61378,                0.70764,                0.45985,                 1.1802,                0.94097,                 1.2556,                0.00604,                0.00604,                0.00604
                     10,                 1.1094,                0.91757,                  1.218,                0.75188,                0.62859,                0.71385,                  0.471,                 1.1597,                0.93044,                 1.2419,               0.005545,               0.005545,               0.005545
                     11,                 1.1019,                 0.9087,                 1.2098,                0.77641,                0.63241,                0.72506,                0.48177,                 1.1313,                0.90506,                 1.2229,                0.00505,                0.00505,                0.00505
                     12,                 1.0687,                0.86618,                 1.1857,                0.76972,                0.63605,                0.73094,                0.48542,                 1.1198,                0.89345,                 1.2125,               0.004555,               0.004555,               0.004555
                     13,                  1.051,                0.84195,                 1.1782,                0.79194,                0.64695,                0.74345,                0.49728,                 1.1088,                0.84992,                 1.2006,                0.00406,                0.00406,                0.00406
                     14,                 1.0181,                0.80187,                 1.1546,                0.79801,                0.64522,                0.74755,                0.50378,                 1.0879,                0.83529,                 1.1893,               0.003565,               0.003565,               0.003565
                     15,                0.99665,                0.78033,                 1.1478,                0.79214,                0.64922,                0.74464,                0.50388,                  1.086,                0.83474,                 1.1917,                0.00307,                0.00307,                0.00307
                     16,                0.98671,                0.76454,                 1.1331,                0.78176,                0.66112,                0.75349,                0.51395,                 1.0741,                0.82007,                 1.1726,               0.002575,               0.002575,               0.002575
                     17,                 0.9565,                0.72372,                 1.1218,                 0.7976,                0.66035,                0.75593,                0.51555,                 1.0688,                0.80351,                 1.1788,                0.00208,                0.00208,                0.00208
                     18,                0.93555,                0.69675,                 1.1097,                0.78867,                0.67421,                0.76254,                0.52421,                 1.0537,                0.79018,                 1.1674,               0.001585,               0.001585,               0.001585
                     19,                0.91529,                 0.6808,                 1.0943,                0.79269,                0.66539,                0.76344,                0.52799,                 1.0429,                0.77719,                 1.1589,                0.00109,                0.00109,                0.00109
